ReportID,IncidentID,LocID,SubmitterID,PestID,ReportDate,ReportText,XCoord,YCoord,PestName,PestType,Severity,PestDescription,PestImage
211d816f-c4b0-4934-8db7-b3c0ff714696,,,,053802ed-1844-4eb6-9066-a91aa6c089f9,,,,,Wild boar (Sus scrofa),Pig,High,A species of wild pigs that can be found in the west and southeast of the United States. Attacks on humans are rare but can be fatal due to their tusks and their agression.,https://upload.wikimedia.org/wikipedia/commons/d/d2/Wildschwein%2C_N%C3%A4he_Pulverstampftor_%28cropped%29.jpg
3690eb06-67b7-43a6-8ad9-7c7781431f64,8d936d99-7477-43e0-bda3-3ab3cb0e805f,5c1978c3-121e-4d6c-a13e-851377e0739b,a50736c6-6860-471a-adb2-45d7e28e93c8,1304fec9-e2ac-4f72-8e74-2450d1a03abb,6/4/22,,36.88398297,-76.30793845,Raccoon (Procyon lotor),Raccoon,Medium,"A nocturnal mammal found throughout North America and often in places where people inhabit. They are prone to rabies, pose a risk to pets, and tend to cause structural damage when they nest in homes.", https://upload.wikimedia.org/wikipedia/commons/3/3e/Raccoon_in_Central_Park_%2835264%29.jpg
8cd2901c-e250-4d3b-a896-9236de954836,,,,142908b3-285a-4eb9-9ab1-a14c6acddf30,,,,,European honey bee (Apis mellifera),Bee,Low,A species of domesticated social bees that produce honey and are invasive in the United States. Generally docile but their stings may cause anaphylactic shock in those allergic to it.,https://upload.wikimedia.org/wikipedia/commons/4/4d/Apis_mellifera_Western_honey_bee.jpg
b4eb11c0-8ac6-417a-bc09-64c41402a100,,,,22f5ad76-a5d9-4d87-a6b3-975c7030b97b,,,,,American black bear (Ursus americanus),Bear,Medium,"The American black bear is the smallest bear in North America and typically live in largely forested areas. Though they are generally docile, attacks on people are possible but they rarely lead to serious injury.",https://upload.wikimedia.org/wikipedia/commons/2/22/Black_Bear_%2820261425192%29.jpg
f426dc1b-0856-4475-a331-931bd390f768,,,,243598fd-f515-43ce-a3bb-fe3d3cc65d42,,,,,Leafcutter bee (Megachile),Bee,Low,Species of solitary bees that build their nests out of leaf cuttings. Their nest building can damage garden plants and crops.,https://upload.wikimedia.org/wikipedia/commons/b/b3/Leafcutter_bee_by_Bernhard_plank.jpg
e8881a7e-87e9-421a-9884-3cff3fef2040,,,,3fb8fb8a-e16b-45d0-9274-fb2356a24e42,,,,,Fire Ants (Solenopsis),Ant,Medium (Venom may cause anaphylaxis),Species of stinging ants whose venom may cause anaphylactic shock in those allergic to it.,https://upload.wikimedia.org/wikipedia/commons/9/94/Fire_ants_01.jpg
71d1c830-fe2f-4534-9a04-5a6c2bd26357,,,,4e248b67-8bf6-4655-9515-5d41602ae49d,,,,,Bobcat (Lynx rufus),Feline,Medium,"A medium-sized species of cat native to North America. Bobcats tend to fear people and attacks are rarely fatal, but they may pose a risk to children and pets.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Bobcat_at_Columbus_Zoo_Boo.jpg
a5e2775c-6dad-436c-8d79-84fec90644f4,bc769e8f-821f-4f7d-9bc5-50cadcee72cd,5c1978c3-121e-4d6c-a13e-851377e0739b,0f987ea6-6a42-4a69-9bdd-626139d1ad55,55884984-3891-4c9c-b8d0-8526c65d5588,10/30/22,,36.8873604,-76.30377903,House Mouse (Mus musculus),Rodent,Low,"A small mammal of the order Rodentia, characteristically having a pointed snout, large rounded ears, and a long and almost hairless tail. It is one of the most abundant species of the genus Mus.",https://en.wikipedia.org/wiki/House_mouse#/media/File:Mouse_white_background.jpg
8ddb5502-44fd-4d96-b5fd-828c02f0dc50,81a1fa97-5371-4bdc-adfe-84c96dade479,5c1978c3-121e-4d6c-a13e-851377e0739b,a50736c6-6860-471a-adb2-45d7e28e93c8,7a532d09-6b6f-4050-a8a5-2b367441e31d,10/2/22,,36.89014852,-76.28710841,Metric Paper Wasp (Polistes metricus),Wasp,Medium,A species of eusocial wasps native to North America that prey on caterpillars and other insects. Can be found under structures building either cone or umbrella shaped nests out of paper.,https://upload.wikimedia.org/wikipedia/commons/2/2b/Polistes_metricus_P1660156a_%28cropped%29.jpg
796812ff-766f-4381-a0e7-fe3bfafdc373,,,,7f2c97f0-03ac-40ec-8fd7-3374b11410ed,,,,,Pavement Ant (Tetramorium),Ant,Low,Species of ants that are often found indoors scavenging for food.,https://upload.wikimedia.org/wikipedia/commons/4/40/Ants_on_candy.jpg
b92f20ee-9981-4549-b2fc-775e1e1b22b5,,,,840916ef-051a-440e-bd44-696cf80df370,,,,,Red fox (Vulpes vulpes),Fox,Medium,A species of small canine native to North America. Foxes are prone to rabies may attack livestock and pets.,https://upload.wikimedia.org/wikipedia/commons/1/16/Fox_-_British_Wildlife_Centre_%2817429406401%29.jpg
957cd575-a8e6-4089-ab70-eb25673da38f,,,,851f587f-71d0-48fa-af66-6f12fd1416a5,,,,,Mud daubers (Sphecidae/Crabronidae),Wasp,Low,Species of solitary mud dauber wasps that can be found building cylindrical nests out of mud. They are docile unless threatened. Mud daubers can typically be differentiated from other wasps by their long and narrow waist.,https://upload.wikimedia.org/wikipedia/commons/0/0d/Sceliphron_caementarium_MHNT_Profil.jpg
